413.95	3.003	0.00195	0.00261	0.00224	0.00299	0.00312	0.00375	0.00417	0.00405	0.00374	0.00445	0.00403	0.00405	0.00348	0.00252	2.33333E-4	-0.00362	-0.00126	0.00102	9.84848E-4	0.00143
414.35	3	0.00168	0.00245	0.00182	0.0034	0.0033	0.00362	0.00431	0.00445	0.00336	0.0041	0.00366	0.00402	0.00403	0.00319	1.41725E-4	-0.00379	-0.00144	0.00114	0.00109	0.00144
414.76	2.997	0.00145	0.00279	0.00189	0.0033	0.00363	0.0039	0.00456	0.00441	0.00318	0.00387	0.00359	0.0044	0.00436	0.00336	2.75524E-4	-0.00318	-6.98135E-4	0.00159	0.00115	0.00163
415.17	2.994	0.00155	0.00273	0.00174	0.00281	0.00381	0.0037	0.0049	0.00451	0.00343	0.00336	0.00347	0.00447	0.00389	0.00302	2.72727E-4	-0.00326	-0.00129	0.00168	9.5035E-4	0.00183
415.57	2.991	0.00121	0.00253	0.00174	0.00289	0.00406	0.00352	0.00488	0.00454	0.00355	0.00351	0.00353	0.00447	0.00394	0.0024	3.4965E-6	-0.00251	-0.00167	0.00169	0.00107	0.00188
415.98	2.988	0.00161	0.00255	0.00174	0.00355	0.00417	0.00372	0.00462	0.0046	0.00367	0.00375	0.00384	0.00454	0.00447	0.003	-1.16783E-4	-0.00163	-7.87646E-4	0.00202	0.00127	0.002
416.39	2.985	0.00168	0.0024	0.00158	0.00325	0.00448	0.00364	0.00452	0.00454	0.00354	0.00406	0.00436	0.00465	0.00502	0.00303	-2.05128E-4	-0.001	-5.20513E-4	0.00187	0.00131	0.00137
416.79	2.982	0.00179	0.00244	0.00184	0.00292	0.00445	0.00334	0.00453	0.00445	0.00358	0.004	0.00455	0.0046	0.00412	0.00237	-2.54545E-4	-6.82984E-4	8.27506E-5	0.00205	0.00151	0.00156
417.2	2.979	0.00192	0.00258	0.00171	0.00287	0.00443	0.00324	0.00452	0.0044	0.00362	0.00374	0.00499	0.00496	0.00462	0.00313	-2.60606E-4	-9.46154E-4	-1.08625E-4	0.00208	0.00136	0.00108
417.61	2.976	0.00211	0.0027	0.00176	0.00307	0.00405	0.00305	0.00466	0.00415	0.00388	0.00404	0.00519	0.00544	0.00464	0.00369	7.99534E-5	-0.00106	-5.6317E-4	0.00143	0.00127	6.11888E-4
418.01	2.974	0.00223	0.00276	0.00179	0.00313	0.00387	0.00315	0.00437	0.00414	0.00369	0.00411	0.0053	0.00577	0.00464	0.00249	-4.662E-5	-0.0016	-2.46154E-4	0.00101	0.00109	8.7366E-4
418.42	2.971	0.0019	0.00296	0.00144	0.00309	0.00399	0.00268	0.00438	0.00422	0.00351	0.00406	0.00493	0.00625	0.00546	0.00167	2.84382E-5	-0.00182	3.86014E-4	8.88112E-4	0.00111	0.0012
418.83	2.968	0.00218	0.00349	0.00184	0.00253	0.00408	0.00282	0.00428	0.00409	0.00347	0.0041	0.0052	0.0062	0.00537	0.00171	4.55944E-4	-0.00245	5.14918E-4	7.24242E-4	0.0013	0.00124
419.23	2.965	0.00259	0.00362	0.00185	0.00222	0.00374	0.00275	0.00415	0.00411	0.00405	0.00359	0.00489	0.00607	0.00524	9.62238E-4	5.4359E-4	-0.00264	-6.31702E-5	1.99767E-4	0.00111	0.00106
419.64	2.962	0.00181	0.00348	0.00233	0.00276	0.00359	0.00328	0.00433	0.00404	0.00403	0.00401	0.00476	0.00537	0.00509	0.00149	3.57343E-4	-0.00255	-1.74126E-4	5.71562E-4	0.0012	9.8648E-4
420.05	2.959	0.00282	0.00334	0.00209	0.00315	0.00376	0.00389	0.00443	0.00412	0.00375	0.00431	0.00453	0.0048	0.00516	0.00245	2.70862E-4	-0.00164	8.39394E-4	7.01399E-4	0.00148	7.0303E-4
420.45	2.956	0.00274	0.00325	0.00218	0.00247	0.004	0.00382	0.00456	0.00434	0.00362	0.00452	0.00474	0.00385	0.00527	0.00332	9.44056E-5	-0.00127	3.2704E-4	8.58508E-4	0.00123	3.97669E-4
420.86	2.953	0.00279	0.00325	0.00207	0.00254	0.00445	0.00405	0.00491	0.00456	0.0034	0.00446	0.00456	0.00339	0.00421	0.00343	-1.30769E-4	-0.00175	8.91608E-4	0.00166	0.00121	0.0013
421.27	2.951	0.00252	0.00302	0.00176	0.00269	0.00454	0.00423	0.00486	0.005	0.0029	0.00439	0.00458	0.00367	0.00375	0.00522	-1.19347E-4	-0.00133	-8.01865E-5	0.00208	0.00117	5.55944E-4
421.67	2.948	0.00223	0.00279	0.00174	0.00308	0.00442	0.00429	0.00493	0.00463	0.00246	0.00434	0.00442	0.00379	0.00307	0.00578	-2.93706E-5	-0.00174	-1.07925E-4	0.00185	0.00135	4.98601E-4
422.08	2.945	0.00224	0.00237	0.00204	0.00301	0.00408	0.00397	0.0047	0.00451	0.00228	0.0039	0.00423	0.00393	0.00216	0.00457	-2.89277E-4	-0.00246	2.04662E-4	0.00148	0.00115	7.73193E-4
422.49	2.942	0.00196	0.00232	0.00188	0.00321	0.00424	0.00359	0.00446	0.00448	0.00226	0.00348	0.00336	0.00405	0.00147	0.00345	-5.1655E-4	-0.00326	7.58741E-4	0.00129	0.00113	0.00139
422.9	2.939	0.00237	0.00232	0.00205	0.00311	0.00411	0.00357	0.00387	0.00433	0.00229	0.0028	0.00307	0.00348	0.0011	0.00338	-3.28205E-4	-0.00311	0.00188	7.71562E-4	0.00138	0.00186
423.3	2.936	0.00222	0.00267	0.00241	0.00275	0.00373	0.00323	0.00344	0.00425	0.00258	0.00193	0.00262	0.00372	0.00132	0.00221	-2.89977E-4	-0.00294	0.00239	5.12354E-4	0.00118	0.00202
423.71	2.934	0.00207	0.00272	0.0029	0.00302	0.00374	0.00327	0.00362	0.00393	0.00259	0.00193	0.00235	0.00282	0.00105	0.00153	-1.82751E-4	-0.00292	0.0023	5.77156E-4	0.00123	0.00261
424.12	2.931	0.003	0.00272	0.00274	0.00287	0.00394	0.00298	0.00357	0.0035	0.00243	0.00205	0.00244	0.00221	0.00131	7.46387E-4	1.47086E-4	-0.00263	0.00192	4.34499E-4	0.00142	0.0029
424.53	2.928	0.00239	0.00282	0.00318	0.00323	0.00413	0.00304	0.00404	0.00365	0.00274	0.0024	0.00309	0.00164	0.00208	7.64569E-5	2.15851E-4	-0.00279	7.58275E-4	7.71795E-4	0.00135	0.00326
424.93	2.925	0.00214	0.00313	0.00314	0.00373	0.00424	0.00312	0.00429	0.00344	0.00272	0.00268	0.00306	0.00198	0.00214	-4.59907E-4	1.68765E-4	-0.00318	4.67366E-4	0.00146	0.00157	0.00319
425.34	2.922	0.00213	0.00306	0.00302	0.00432	0.00403	0.00341	0.00424	0.00335	0.00272	0.0028	0.00384	0.00322	0.00255	-2.4662E-4	4.21678E-4	-0.00267	-8.3683E-4	0.00188	0.00179	0.00191
425.75	2.92	0.00243	0.00286	0.00311	0.00488	0.00352	0.00368	0.0042	0.00297	0.00288	0.00265	0.00417	0.00356	0.0028	-4.99301E-4	4.58974E-4	-0.00283	-0.00114	0.00213	0.0019	0.00165
426.16	2.917	0.00314	0.00278	0.00279	0.00459	0.00327	0.00373	0.0043	0.00314	0.00317	0.00299	0.00417	0.00395	0.00263	-6.24009E-4	2.18881E-4	-0.00273	-0.00167	0.00196	0.00166	9.27739E-4
426.56	2.914	0.00282	0.00244	0.00245	0.00437	0.00345	0.00411	0.00403	0.00331	0.00334	0.00307	0.00353	0.00459	0.0024	-0.00104	-1.87646E-4	-0.0031	-0.00114	0.00188	0.00145	5.51748E-4
426.97	2.911	0.00273	0.00234	0.00211	0.0037	0.00316	0.00414	0.00391	0.00372	0.00331	0.00305	0.00398	0.00461	0.00244	6.04196E-4	-4.41958E-4	-0.00169	-4.53613E-4	0.00167	0.00125	8.28904E-4
427.38	2.908	0.00258	0.0026	0.0021	0.00291	0.00327	0.00432	0.00382	0.00416	0.00322	0.00361	0.0041	0.00499	0.00271	0.00179	-5.8042E-4	-0.00233	-4.02098E-4	0.00153	7.74126E-4	7.99767E-4
427.79	2.906	0.00199	0.0026	0.00213	0.00248	0.00336	0.00442	0.00418	0.00457	0.00344	0.00415	0.00397	0.0045	0.00242	0.00216	-3.60839E-4	-0.0025	-9.89744E-4	0.00108	3.06294E-4	0.00119
428.19	2.903	0.00145	0.00272	0.00172	0.00238	0.0037	0.00426	0.00448	0.00487	0.00331	0.00454	0.00365	0.00367	0.00257	0.00186	6.62005E-5	-0.00361	-0.0013	8.3007E-4	1.95804E-4	0.00139
428.6	2.9	0.00111	0.003	0.00165	0.00249	0.00376	0.00451	0.00459	0.00481	0.00324	0.00495	0.00393	0.00345	0.00254	0.0016	-3.3007E-4	-0.00361	-9.37529E-4	9.18648E-4	3.05128E-4	0.00133
429.01	2.897	0.00145	0.00317	0.00186	0.00272	0.00381	0.0042	0.00484	0.00467	0.00338	0.00501	0.00362	0.00343	0.00241	0.00122	-6.24942E-4	-0.0045	-6.15618E-4	0.0012	4.57809E-4	8.19814E-4
